,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases
157,Taiwan,"35,983","+1,480",854,,"22,042",
158,Faeroe Islands,"34,658",,28,,"7,693",
159,Aruba,"34,345",,212,,"34,038",
160,Tanzania,"33,851",,803,,N/A,N/A
161,Bahamas,"33,391",,789,,"32,259",
162,Lesotho,"32,910",,697,,"24,155",
163,Mali,"30,658",,729,,"29,758",
164,Haiti,"30,594",,835,,"29,176",
165,Isle of Man,"28,416",,87,,"26,794",
166,Benin,"26,952",,163,,"25,506",
167,Somalia,"26,471",,"1,350",,"13,182",
168,Congo,"24,079",,385,,"20,178",
169,Saint Lucia,"23,094",,367,,"22,616",
170,Timor-Leste,"22,853",,130,,"22,704",
171,Cayman Islands,"21,406",,26,,"8,553",
172,Burkina Faso,"20,853",,382,,"20,439",
173,Nicaragua,"18,491",,225,,"4,225",
174,Gibraltar,"17,494",,101,,"16,579",
175,Tajikistan,"17,388",,124,,"17,264",
176,South Sudan,"17,369",,138,,"13,514",
177,Liechtenstein,"17,003",+22,84,,"16,669",+48
178,Equatorial Guinea,"15,906",,183,,"15,697",
179,San Marino,"15,683",,114,,"15,225",
180,Djibouti,"15,598",,189,,"15,404",
181,CAR,"14,649",,113,,"6,859",
182,Grenada,"14,165",,219,,"13,815",
183,Bermuda,"12,901",,131,,"12,563",
184,Solomon Islands,"12,437",,139,,"11,194",
185,Gambia,"11,994",,365,,"11,591",
186,Dominica,"11,988",,63,,"11,903",
187,Greenland,"11,971",,21,,"2,761",
188,Yemen,"11,817",,"2,148",,"9,001",
189,Monaco,"11,406",,54,,"11,176",
190,Saint Martin,"10,279",,63,,"1,399",
191,Sint Maarten,"9,920",,86,,"9,753",
192,Eritrea,"9,733",,103,,"9,629",
193,Caribbean Netherlands,"9,349",,34,,"8,987",
194,Tonga,"9,025",,11,,"7,484",
195,Niger,"8,877",,308,,"8,494",
196,Guinea-Bissau,"8,178",,170,,"7,306",
197,Comoros,"8,100",,160,,"7,933",
198,Sierra Leone,"7,681",,125,,N/A,N/A
199,Antigua and Barbuda,"7,539",,135,,"7,377",
200,Liberia,"7,402",,294,,"5,747",
201,Chad,"7,378",,192,,"4,874",
202,St. Vincent Grenadines,"6,751",,106,,"6,641",
203,Vanuatu,"6,332",,7,,"5,300",
204,British Virgin Islands,"6,162",,62,,N/A,N/A
205,Sao Tome and Principe,"5,948",,73,,"5,872",
206,Samoa,"5,947",,12,,"1,605",
207,Turks and Caicos,"5,936",,36,,"5,862",
208,Saint Kitts and Nevis,"5,559",,43,,"5,512",
209,St. Barth,"4,432",,6,,N/A,N/A
210,Palau,"4,190",,6,,"3,803",
211,Cook Islands,"3,941",,,,"3,389",
212,Kiribati,"3,075",+1,13,,"2,596",
213,Anguilla,"2,731",,9,,"2,716",
214,Saint Pierre Miquelon,"2,537",,1,,"2,449",
215,Diamond Princess,712,,13,,699,
216,Wallis and Futuna,454,,7,,438,
217,Montserrat,176,,2,,174,
